"z1","u1","z2","u2","z3","u3",
1.8095,-1,4.0513,-1.5,0.66178,-0.5,
1.1648,1,2.6447,1.5,0.35897,0.5,
0.31013,1,0.91087,1.5,0.10501,0.5,
0.60806,1,0.98901,1.5,0.35897,0.5,
1.116,1,2.0391,1.5,0.54457,0.5,
1.4481,1,2.8742,1.5,0.66667,0.5,
1.5458,1,3.0842,1.5,0.69597,0.5,
1.243,1,2.5128,1.5,0.52991,0.5,
0.779,1,1.3504,1.5,0.28571,0.5,
0.43712,1,0.90598,1.5,0.08547,0.5,
1.0232,1,2.2491,1.5,0.48107,0.5,
1.8046,-1,4.0024,-1.5,0.76435,-0.5,
2.4982,-1,5.4579,-1.5,1.0134,-0.5,
2.928,-1,6.2637,-1.5,1.0965,-0.5,
2.9133,-1,6.1026,-1.5,1.1209,-0.5,
2.4493,-1,5.0623,-1.5,0.87179,-0.5,
1.6288,-1,3.4261,-1.5,0.52991,-0.5,
0.66667,-1,1.3455,-1.5,0.27106,-0.5,
0.54457,-1,1.1502,-1.5,0.27106,-0.5,
1.2332,-1,2.5568,-1.5,0.58852,-0.5,
1.9951,-1,4.1197,-1.5,0.86691,-0.5,
2.547,1,5.2527,1.5,1.0867,0.5,
2.7814,1,5.7118,1.5,1.0867,0.5,
2.6252,1,5.3748,1.5,0.96947,0.5,
2.1074,1,4.359,1.5,0.70085,0.5,
1.3407,1,2.8254,1.5,0.50061,0.5,
0.56899,1,1.0965,1.5,0.13919,0.5,
0.65201,1,1.1111,1.5,0.39316,0.5,
1.3455,1,2.2979,1.5,0.6862,0.5,
2.0049,1,3.6215,1.5,0.9011,0.5,
2.4884,1,4.5641,1.5,1.033,0.5,
2.6545,1,4.9451,1.5,1.0085,0.5,
2.4786,1,4.7741,1.5,0.94994,0.5,
2.0781,1,4.2808,1.5,0.779,0.5,
1.5214,1,3.6703,1.5,0.59341,0.5,
1.0623,1,3.0842,1.5,0.40293,0.5,
0.6569,-1,2.6545,-1.5,0.10989,-0.5,
0.442,-1,2.3712,-1.5,0.27595,-0.5,
0.44689,-1,2.2247,-1.5,0.095238,-0.5,
0.33944,-1,2.1026,-1.5,0.03663,-0.5,
0.43223,-1,1.8535,-1.5,0.14408,-0.5,
0.49573,-1,1.4774,-1.5,0.24664,-0.5,
0.38339,-1,0.89621,-1.5,0.070818,-0.5,
0.22711,-1,0.27595,-1.5,0.031746,-0.5,
0.2906,-1,0.78388,-1.5,0.25641,-0.5,
0.43712,-1,1.58,-1.5,0.3199,-0.5,
0.73504,-1,2.4933,-1.5,0.32479,-0.5,
1.1111,-1,3.2845,-1.5,0.54945,-0.5,
1.4188,-1,3.851,-1.5,0.55922,-0.5,
1.6581,-1,4.105,-1.5,0.65201,-0.5,
1.8193,-1,4.0415,-1.5,0.69597,-0.5,
1.8388,-1,3.7729,-1.5,0.71062,-0.5,
1.7705,-1,3.431,-1.5,0.5641,-0.5,
1.6093,-1,3.1184,-1.5,0.51526,-0.5,
1.4872,-1,2.9328,-1.5,0.39805,-0.5,
1.3358,-1,2.8938,-1.5,0.43223,-0.5,
1.2527,1,3.0256,1.5,0.4127,0.5,
1.2283,1,3.3187,1.5,0.36874,0.5,
1.3162,1,3.6117,1.5,0.46154,0.5,
1.3211,1,3.6899,1.5,0.47131,0.5,
1.2479,1,3.3675,1.5,0.35409,0.5,
1.0427,1,2.6447,1.5,0.22222,0.5,
0.61783,1,1.619,1.5,0.19292,0.5,
0.30037,1,0.5348,1.5,0.065934,0.5,
0.46154,1,1.0134,1.5,0.21245,0.5,
0.85714,1,2.044,1.5,0.42247,0.5,
1.2576,-1,3.1184,-1.5,0.58364,-0.5,
1.58,-1,3.9243,-1.5,0.65201,-0.5,
1.7753,-1,4.2418,-1.5,0.68132,-0.5,
1.6874,-1,3.9878,-1.5,0.65201,-0.5,
1.4042,-1,3.2015,-1.5,0.50549,-0.5,
0.92552,-1,2.0049,-1.5,0.26618,-0.5,
0.442,-1,0.71062,-1.5,0.090354,-0.5,
0.57875,-1,1.1258,-1.5,0.35409,-0.5,
1.1258,-1,2.4298,-1.5,0.51526,-0.5,
1.6874,-1,3.7875,-1.5,0.6862,-0.5,
2.0684,1,4.8181,1.5,0.73016,0.5,
2.2393,1,5.2332,1.5,0.84249,0.5,
2.1905,1,5.0183,1.5,0.78388,0.5,
1.8388,1,4.2027,1.5,0.61294,0.5,
1.2625,1,2.8791,1.5,0.30037,0.5,
0.66178,1,1.3553,1.5,0.080586,0.5,
0.55433,1,0.85714,1.5,0.25641,0.5,
1.0379,1,1.7851,1.5,0.5348,0.5,
1.6337,1,3.0305,1.5,0.70574,0.5,
2.0928,1,3.9731,1.5,0.779,0.5,
2.3321,1,4.4713,1.5,0.84737,0.5,
2.3028,1,4.4957,1.5,0.82295,0.5,
2.0391,1,4.1587,1.5,0.66178,0.5,
1.6777,1,3.641,1.5,0.55433,0.5,
1.2234,1,3.1184,1.5,0.40293,0.5,
0.89621,1,2.6789,1.5,0.28083,0.5,
0.6862,1,2.3468,1.5,0.2906,0.5,
0.5348,1,2.2393,1.5,0.30037,0.5,
0.66178,1,2.3077,1.5,0.34432,0.5,
0.89133,1,2.5763,1.5,0.30037,0.5,
1.1844,1,3.0354,1.5,0.51038,0.5,
1.5897,1,3.602,1.5,0.59829,0.5,
1.9707,1,4.1441,1.5,0.81319,0.5,
2.3126,1,4.5543,1.5,0.87668,0.5,
2.4982,1,4.8083,1.5,0.92063,0.5,
2.5372,-1,4.9011,-1.5,0.89621,-0.5,
2.4591,-1,4.8083,-1.5,0.91575,-0.5,
2.2442,-1,4.5104,-1.5,0.79365,-0.5,
1.8877,-1,4.0366,-1.5,0.67155,-0.5,
1.3846,-1,3.2894,-1.5,0.40293,-0.5,
0.81319,-1,2.3126,-1.5,0.33944,-0.5,
0.3199,-1,1.1306,-1.5,0.3199,-0.5,
0.47619,-1,0.66667,-1.5,0.47619,-0.5,
1.0134,-1,1.4237,-1.5,0.63248,-0.5,
1.4872,-1,2.5324,-1.5,0.779,-0.5,
1.7998,-1,3.5238,-1.5,0.78877,-0.5,
1.956,-1,4.1636,-1.5,0.73016,-0.5,
1.8974,-1,4.4029,-1.5,0.70574,-0.5,
1.7021,-1,4.2222,-1.5,0.57387,-0.5,
1.3651,-1,3.7436,-1.5,0.30525,-0.5,
1.072,-1,3.2112,-1.5,0.19292,-0.5,
0.91087,-1,2.7473,-1.5,0.17827,-0.5,
0.78877,-1,2.4737,-1.5,0.28571,-0.5,
0.77411,-1,2.42,-1.5,0.26129,-0.5,
0.84737,-1,2.5714,-1.5,0.35409,-0.5,
1.072,-1,2.884,-1.5,0.47131,-0.5,
1.3748,-1,3.3089,-1.5,0.5348,-0.5,
1.7021,-1,3.7436,-1.5,0.67643,-0.5,
2.0342,-1,4.1392,-1.5,0.72039,-0.5,
2.2637,-1,4.4127,-1.5,0.84737,-0.5,
2.381,1,4.5739,1.5,0.80342,0.5,
2.3663,1,4.652,1.5,0.72039,0.5,
2.2735,1,4.6178,1.5,0.68132,0.5,
1.9756,1,4.2857,1.5,0.49084,0.5,
1.5556,1,3.5922,1.5,0.46642,0.5,
1.033,1,2.5861,1.5,0.12943,0.5,
0.51526,1,1.3797,1.5,0.14896,0.5,
0.52503,1,0.58852,1.5,0.40293,0.5,
0.96947,1,1.4628,1.5,0.53968,0.5,
1.4579,1,2.6593,1.5,0.66178,0.5,
1.8437,-1,3.6801,-1.5,0.75946,-0.5,
2.0342,-1,4.315,-1.5,0.75946,-0.5,
2,-1,4.398,-1.5,0.62271,-0.5,
1.6874,-1,3.8706,-1.5,0.48596,-0.5,
1.1258,-1,2.8694,-1.5,0.26129,-0.5,
0.5641,-1,1.5018,-1.5,0.23687,-0.5,
0.37851,-1,0.69109,-1.5,0.34921,-0.5,
0.92063,-1,1.4432,-1.5,0.50061,-0.5,
1.4823,-1,2.6935,-1.5,0.62271,-0.5,
1.9512,-1,3.895,-1.5,0.74481,-0.5,
2.1954,1,4.7204,1.5,0.76435,0.5,
2.2149,1,4.9939,1.5,0.63248,0.5,
1.9902,1,4.7057,1.5,0.61783,0.5,
1.5214,1,3.8999,1.5,0.37363,0.5,
0.96459,1,2.6593,1.5,0.27595,0.5,
0.49573,1,1.1209,1.5,0.090354,0.5,
0.57387,1,0.84249,1.5,0.36386,0.5,
1.1502,1,1.8486,1.5,0.47131,0.5,
1.7021,1,3.0647,1.5,0.64225,0.5,
2.0977,1,3.9878,1.5,0.70085,0.5,
2.2637,1,4.442,1.5,0.69109,0.5,
2.1905,1,4.4127,1.5,0.69109,0.5,
1.9414,1,4.0415,1.5,0.51526,0.5,
1.5897,1,3.514,1.5,0.44689,0.5,
1.2332,1,2.9963,1.5,0.39805,0.5,
0.98901,1,2.6056,1.5,0.38828,0.5,
0.82295,1,2.337,1.5,0.35409,0.5,
0.78388,1,2.2686,1.5,0.33944,0.5,
0.85714,1,2.3614,1.5,0.27106,0.5,
1.0623,1,2.6545,1.5,0.39316,0.5,
1.3748,1,3.0745,1.5,0.60317,0.5,
1.7607,1,3.5824,1.5,0.71551,0.5,
2.0733,1,4.0952,1.5,0.78388,0.5,
2.3516,1,4.4762,1.5,0.87179,0.5,
2.4689,1,4.7106,1.5,0.83761,0.5,
2.4933,1,4.8327,1.5,0.87668,0.5,
2.3907,1,4.7595,1.5,0.81319,0.5,
2.1905,1,4.5641,1.5,0.73993,0.5,
2.0244,1,4.3687,1.5,0.60317,0.5,
1.8437,1,4.2418,1.5,0.49084,0.5,
1.7363,-1,4.1685,-1.5,0.45177,-0.5,
1.6679,-1,4.1587,-1.5,0.442,-0.5,
1.663,-1,4.1783,-1.5,0.43712,-0.5,
1.6288,-1,4.0513,-1.5,0.47619,-0.5,
1.4383,-1,3.5873,-1.5,0.38828,-0.5,
1.199,-1,2.7326,-1.5,0.442,-0.5,
0.67643,-1,1.6777,-1.5,0.11966,-0.5,
0.2906,-1,0.61294,-1.5,0.041514,-0.5,
0.47131,-1,1.0379,-1.5,0.28083,-0.5,
0.92063,-1,2.0391,-1.5,0.44689,-0.5,
1.3944,-1,3.1136,-1.5,0.57875,-0.5,
1.746,-1,3.9194,-1.5,0.6862,-0.5,
1.9365,-1,4.315,-1.5,0.72527,-0.5,
1.917,-1,4.3492,-1.5,0.71551,-0.5,
1.7509,-1,4.0904,-1.5,0.57875,-0.5,
1.5214,1,3.6654,1.5,0.48596,0.5,
1.2772,1,3.177,1.5,0.48107,0.5,
1.033,1,2.7473,1.5,0.35897,0.5,
0.8083,1,2.254,1.5,0.31502,0.5,
0.57875,1,1.6728,1.5,0.090354,0.5,
0.16361,-1,1.0769,-1.5,0.27106,-0.5,
0.18315,-1,0.2906,-1.5,0.095238,-0.5,
0.54945,-1,0.61783,-1.5,0.25641,-0.5,
0.73504,-1,1.1697,-1.5,0.37363,-0.5,
0.75458,-1,1.4628,-1.5,0.26129,-0.5,
0.67155,1,1.326,1.5,0.17827,0.5,
0.34921,1,0.81319,1.5,0.16361,0.5,
0.31013,1,0.28083,1.5,0.06105,0.5,
0.53968,1,0.79365,1.5,0.23687,0.5,
0.8083,1,1.4628,1.5,0.24176,0.5,
0.94994,1,1.8584,1.5,0.39805,0.5,
0.86203,1,1.8242,1.5,0.35897,0.5,
0.5641,1,1.2723,1.5,0.12454,0.5,
0.37851,1,0.36874,1.5,0.051282,0.5,
0.64713,1,0.97924,1.5,0.34921,0.5,
1.1795,-1,2.1563,-1.5,0.5348,-0.5,
1.7753,-1,3.4505,-1.5,0.69597,-0.5,
2.2051,-1,4.442,-1.5,0.81807,-0.5,
2.3614,-1,4.8327,-1.5,0.83761,-0.5,
2.1563,-1,4.4322,-1.5,0.73993,-0.5,
1.6093,1,3.348,1.5,0.4127,0.5,
0.81319,1,1.8388,1.5,0.1978,0.5,
0.4127,1,0.78388,1.5,0.095238,0.5,
0.72039,1,1.3455,1.5,0.33944,0.5,
1.2381,1,2.254,1.5,0.59829,0.5,
1.4579,1,2.7473,1.5,0.60317,0.5,
1.37,1,2.5519,1.5,0.52991,0.5,
0.96947,1,1.6532,1.5,0.41758,0.5,
0.42247,1,0.71062,1.5,0.12943,0.5,
0.73993,1,1.4921,1.5,0.40293,0.5,
1.4628,1,3.1087,1.5,0.66667,0.5,
2.2491,1,4.6764,1.5,0.9011,0.5,
2.8254,1,5.7851,1.5,1.0525,0.5,
3.0891,1,6.293,1.5,1.0965,0.5,
3.0598,1,6.1319,1.5,1.0085,0.5,
2.7766,1,5.5653,1.5,0.79853,0.5,
2.3028,1,4.8034,1.5,0.69109,0.5,
1.8388,1,4.022,1.5,0.34432,0.5,
1.3993,1,3.3675,1.5,0.19292,0.5,
1.0867,1,2.9573,1.5,0.1978,0.5,
0.85714,1,2.8352,1.5,0.056166,0.5,
0.90598,1,2.9328,1.5,0.12943,0.5,
0.99878,1,3.221,1.5,0.38828,0.5,
1.3114,1,3.6508,1.5,0.51526,0.5,
1.6679,1,4.1245,1.5,0.69109,0.5,
2.0537,-1,4.6081,-1.5,0.85714,-0.5,
2.4054,-1,4.9499,-1.5,0.99878,-0.5,
2.63,-1,5.0379,-1.5,1.033,-0.5,
2.591,-1,4.7937,-1.5,0.98901,-0.5,
2.3028,-1,4.0855,-1.5,0.81807,-0.5,
1.7265,-1,2.967,-1.5,0.58852,-0.5,
0.94994,-1,1.6044,-1.5,0.17338,-0.5,
0.45665,-1,0.61294,-1.5,0.27595,-0.5,
0.78877,-1,1.3944,-1.5,0.50061,-0.5,
1.3553,-1,2.6349,-1.5,0.77411,-0.5,
1.9023,-1,3.7241,-1.5,0.88645,-0.5,
2.2442,-1,4.4029,-1.5,0.9011,-0.5,
2.293,-1,4.6081,-1.5,0.9011,-0.5,
2.0781,-1,4.4176,-1.5,0.779,-0.5,
1.7265,-1,3.9438,-1.5,0.58852,-0.5,
1.2381,-1,3.3187,-1.5,0.37851,-0.5,
0.89133,-1,2.7668,-1.5,0.10012,-0.5,
0.65201,-1,2.4054,-1.5,0.03663,-0.5,
0.39316,-1,2.2491,-1.5,0.021978,-0.5,
0.50061,-1,2.3321,-1.5,0.13919,-0.5,
0.67643,-1,2.6154,-1.5,0.28083,-0.5,
0.98413,-1,3.0403,-1.5,0.42247,-0.5,
1.37,-1,3.5482,-1.5,0.55433,-0.5,
1.7851,-1,4.0611,-1.5,0.72039,-0.5,
2.1758,-1,4.4615,-1.5,0.85714,-0.5,
2.464,-1,4.6813,-1.5,0.93529,-0.5,
2.6056,-1,4.7497,-1.5,0.94994,-0.5,
2.591,-1,4.7448,-1.5,0.82784,-0.5,
2.4689,-1,4.6471,-1.5,0.73016,-0.5,
2.2393,-1,4.4908,-1.5,0.58364,-0.5,
2,1,4.3834,1.5,0.4127,0.5,
1.7558,1,4.3248,1.5,0.44689,0.5,
1.5946,1,4.2173,1.5,0.30525,0.5,
1.4042,1,3.9389,1.5,0.22711,0.5,
1.1746,1,3.3871,1.5,0.18803,0.5,
0.9011,-1,2.5617,-1.5,0.25153,-0.5,
0.40781,-1,1.5311,-1.5,0.080586,-0.5,
0.23687,-1,0.45177,-1.5,0.03663,-0.5,
0.33944,-1,0.79365,-1.5,0.12943,-0.5,
0.61294,-1,1.243,-1.5,0.16361,-0.5,
0.60806,-1,1.4042,-1.5,0.15873,-0.5,
0.40293,-1,1.1746,-1.5,0.21734,-0.5,
0.24664,-1,0.43712,-1.5,0.070818,-0.5,
0.45665,-1,0.78877,-1.5,0.23199,-0.5,
0.87179,-1,1.8388,-1.5,0.43712,-0.5,
1.4481,1,3.177,1.5,0.52015,0.5,
1.9121,1,4.3492,1.5,0.66667,0.5,
2.2344,1,5.0672,1.5,0.71062,0.5,
2.2882,1,5.116,1.5,0.71062,0.5,
1.9707,1,4.398,1.5,0.52015,0.5,
1.3651,-1,3.0208,-1.5,0.38339,-0.5,
0.59341,-1,1.4335,-1.5,0.16361,-0.5,
0.48107,-1,0.86203,-1.5,0.27595,-0.5,
0.92063,-1,1.7998,-1.5,0.45665,-0.5,
1.3602,-1,2.6545,-1.5,0.50549,-0.5,
1.4969,-1,2.9035,-1.5,0.62271,-0.5,
1.2918,-1,2.4103,-1.5,0.53968,-0.5,
0.78388,-1,1.3407,-1.5,0.16361,-0.5,
0.44689,-1,0.78877,-1.5,0.1685,-0.5,
0.84737,-1,1.9951,-1.5,0.37363,-0.5,
1.6239,-1,3.6801,-1.5,0.64225,-0.5,
2.3712,-1,5.1355,-1.5,0.84249,-0.5,
2.8694,-1,6.0244,-1.5,0.96947,-0.5,
3.0549,-1,6.3077,-1.5,0.99389,-0.5,
2.8987,-1,5.9756,-1.5,0.86691,-0.5,
2.4933,1,5.2088,1.5,0.73504,0.5,
1.9707,1,4.3199,1.5,0.51526,0.5,
1.4432,1,3.4408,1.5,0.39805,0.5,
0.92552,1,2.591,1.5,0.15873,0.5,
0.39316,1,1.7509,1.5,0.19292,0.5,
0.10501,-1,0.94994,-1.5,0.29548,-0.5,
0.53968,-1,0.442,-1.5,0.33944,-0.5,
0.82295,-1,0.9011,-1.5,0.47619,-0.5,
1.0281,-1,1.4139,-1.5,0.55922,-0.5,
1.0134,-1,1.6874,-1.5,0.51526,-0.5,
0.79365,-1,1.5556,-1.5,0.39316,-0.5,
0.31502,-1,1.0183,-1.5,0.10501,-0.5,
0.30525,-1,0.47619,-1.5,0.23687,-0.5,
0.77411,-1,1.2137,-1.5,0.34921,-0.5,
1.3114,-1,2.4396,-1.5,0.5641,-0.5,
1.8046,-1,3.6899,-1.5,0.69597,-0.5,
2.1563,-1,4.6471,-1.5,0.72039,-0.5,
2.3028,-1,5.1648,-1.5,0.74481,-0.5,
2.2393,-1,5.1648,-1.5,0.63736,-0.5,
2.0049,-1,4.7546,-1.5,0.64713,-0.5,
1.6972,1,4.188,1.5,0.36874,0.5,
1.3553,1,3.5922,1.5,0.42247,0.5,
1.0769,1,3.0794,1.5,0.12943,0.5,
0.88156,1,2.547,1.5,0.15873,0.5,
0.64225,1,1.9463,1.5,0.056166,0.5,
0.35409,1,1.3162,1.5,0.03663,0.5,
0.10012,1,0.50549,1.5,0.26129,0.5,
0.40781,1,0.5641,1.5,0.31502,0.5,
0.68132,1,1.37,1.5,0.26618,0.5,
0.93529,1,2.2295,1.5,0.39316,0.5,
1.16,1,3.0208,1.5,0.43712,0.5,
1.3407,1,3.5482,1.5,0.48596,0.5,
1.4042,1,3.7582,1.5,0.58364,0.5,
1.4042,1,3.7045,1.5,0.56899,0.5,
1.4139,1,3.5043,1.5,0.52991,0.5,
1.3065,-1,3.221,-1.5,0.50549,-0.5,
1.2576,-1,2.9573,-1.5,0.50061,-0.5,
1.1844,-1,2.7326,-1.5,0.50549,-0.5,
1.1306,-1,2.4249,-1.5,0.3199,-0.5,
0.88156,-1,1.9805,-1.5,0.2906,-0.5,
0.52503,1,1.2821,1.5,0.15385,0.5,
0.24664,1,0.64225,1.5,0.056166,0.5,
0.30525,1,0.5641,1.5,0.25641,0.5,
0.57387,1,1.0867,1.5,0.29548,0.5,
0.76435,1,1.4725,1.5,0.42735,0.5,
0.76435,1,1.4432,1.5,0.32479,0.5,
0.5641,1,0.96459,1.5,0.24176,0.5,
0.14408,1,0.34921,1.5,0.30525,0.5,
0.40781,1,0.97436,1.5,0.20269,0.5,
0.92063,1,2.0733,1.5,0.33944,0.5,
1.4481,-1,3.3187,-1.5,0.60317,-0.5,
1.9023,-1,4.359,-1.5,0.70574,-0.5,
2.1954,-1,4.9158,-1.5,0.8083,-0.5,
2.1807,-1,4.8376,-1.5,0.76923,-0.5,
1.8681,-1,4.1392,-1.5,0.63736,-0.5,
1.2918,-1,2.9084,-1.5,0.32967,-0.5,
0.64713,-1,1.2674,-1.5,0.08547,-0.5,
0.42735,-1,0.90598,-1.5,0.34921,-0.5,
0.99389,-1,2.0879,-1.5,0.52015,-0.5,
1.6337,-1,3.5238,-1.5,0.68132,-0.5,
2.0977,-1,4.6716,-1.5,0.85226,-0.5,
2.3614,-1,5.2821,-1.5,0.8083,-0.5,
2.3223,-1,5.2821,-1.5,0.72527,-0.5,
2.0342,-1,4.7692,-1.5,0.68132,-0.5,
1.6239,-1,4.0269,-1.5,0.55433,-0.5,
1.2332,1,3.2943,1.5,0.36874,0.5,
0.87179,1,2.6691,1.5,0.32967,0.5,
0.57875,1,2.293,1.5,0.11477,0.5,
0.48107,1,1.9512,1.5,0.03663,0.5,
0.31502,1,1.5946,1.5,0.021978,0.5,
0.13919,-1,1.1258,-1.5,0.017094,-0.5,
0.051282,-1,0.42735,-1.5,0.1685,-0.5,
0.17338,-1,0.47131,-1.5,0.056166,-0.5,
0.37851,-1,0.86203,-1.5,0.12943,-0.5,
0.46154,-1,1.1404,-1.5,0.18315,-0.5,
0.34921,-1,1.16,-1.5,0.27595,-0.5,
0.31502,-1,0.78388,-1.5,0.10989,-0.5,
0.32967,-1,0.4127,-1.5,0.041514,-0.5,
0.64225,-1,1.0379,-1.5,0.27595,-0.5,
1.0476,-1,2.0635,-1.5,0.33455,-0.5,
1.4237,-1,3.138,-1.5,0.49084,-0.5,
1.7167,-1,4.0415,-1.5,0.59829,-0.5,
1.9365,-1,4.6276,-1.5,0.65201,-0.5,
2.0147,-1,4.8278,-1.5,0.58852,-0.5,
1.9463,-1,4.7302,-1.5,0.63248,-0.5,
1.7998,-1,4.4469,-1.5,0.58364,-0.5,
1.6288,-1,4.0513,-1.5,0.51038,-0.5,
1.3993,-1,3.6606,-1.5,0.37363,-0.5,
1.2576,-1,3.3578,-1.5,0.4127,-0.5,
1.2039,-1,3.221,-1.5,0.36386,-0.5,
1.2186,-1,3.2454,-1.5,0.4127,-0.5,
1.3651,-1,3.3724,-1.5,0.34921,-0.5,
1.5116,-1,3.6361,-1.5,0.48596,-0.5,
1.7509,-1,3.9585,-1.5,0.59829,-0.5,
1.9805,-1,4.3053,-1.5,0.67155,-0.5,
2.1514,-1,4.5641,-1.5,0.71062,-0.5,
2.2589,-1,4.7204,-1.5,0.73993,-0.5,
2.3077,-1,4.7692,-1.5,0.76435,-0.5,
2.2833,-1,4.7741,-1.5,0.72039,-0.5,
2.2247,-1,4.6813,-1.5,0.61783,-0.5,
2.1221,-1,4.5592,-1.5,0.66178,-0.5,
2.0098,-1,4.486,-1.5,0.56899,-0.5,
1.9267,-1,4.4713,-1.5,0.49573,-0.5,
1.8584,-1,4.4469,-1.5,0.46642,-0.5,
1.8779,-1,4.4762,-1.5,0.45665,-0.5,

