"u11","u12","z11","z12",
0.38226,0.88226,0.026862,0.38828,
0.38226,0.88226,0.080586,0.46642,
0.64413,1.1441,0.14896,0.53968,
0.64413,1.1441,0.20269,0.59341,
0.64413,1.1441,0.24176,0.61783,
0.64413,1.1441,0.26129,0.61783,
0.64413,1.1441,0.24664,0.60317,
0.64413,1.1441,0.21734,0.56899,
0.64413,1.1441,0.19292,0.53968,
0.64413,1.1441,0.15385,0.52015,
0.64413,1.1441,0.11966,0.52015,
0.64413,1.1441,0.12454,0.5348,
-0.93628,-0.43628,0.14408,0.56899,
-0.93628,-0.43628,0.1685,0.60806,
-0.93628,-0.43628,0.20269,0.64713,
-0.93628,-0.43628,0.21734,0.64225,
-0.93628,-0.43628,0.15873,0.57875,
-0.93628,-0.43628,0.08547,0.46154,
-0.93628,-0.43628,0.03663,0.30037,
-0.93628,-0.43628,0.095238,0.1685,
-0.93628,-0.43628,0.20269,0.031746,
-0.93628,-0.43628,0.30525,0.10501,
0.69778,1.1978,0.37851,0.17827,
0.69778,1.1978,0.40293,0.24664,
0.69778,1.1978,0.36874,0.25153,
0.69778,1.1978,0.2906,0.19292,
0.69778,1.1978,0.15385,0.10501,
0.49078,0.99078,0.095238,0.06105,
0.49078,0.99078,0.10501,0.18315,
0.49078,0.99078,0.19292,0.34432,
0.49078,0.99078,0.27106,0.48596,
0.49078,0.99078,0.31013,0.56899,
0.49078,0.99078,0.29548,0.58852,
0.49078,0.99078,0.23199,0.52991,
0.49078,0.99078,0.13919,0.442,
0.49078,0.99078,0.056166,0.34432,
0.49078,0.99078,0.01221,0.26618,
0.49078,0.99078,0.031746,0.23687,
0.49078,0.99078,-0.002442,0.23199,
0.49078,0.99078,0.03663,0.27595,
0.49078,0.99078,0.070818,0.33944,
0.49078,0.99078,0.13431,0.42735,
2.0859,2.5859,0.20269,0.52015,
2.0859,2.5859,0.25153,0.58852,
2.0859,2.5859,0.27106,0.63736,
2.0859,2.5859,0.29548,0.67155,
2.0859,2.5859,0.33944,0.72527,
2.0859,2.5859,0.40293,0.81807,
2.0859,2.5859,0.50061,0.95971,
2.0859,2.5859,0.64225,1.1404,
2.0859,2.5859,0.80342,1.3504,
2.0859,2.5859,0.96947,1.5897,
2.0859,2.5859,1.1355,1.8144,
2.0859,2.5859,1.2723,2,
2.0859,2.5859,1.3553,2.1612,
2.0859,2.5859,1.409,2.2735,
2.0859,2.5859,1.4383,2.3663,
2.0859,2.5859,1.4579,2.4444,
2.0859,2.5859,1.4774,2.5177,
2.0859,2.5859,1.5311,2.6154,
2.0859,2.5859,1.5849,2.7082,
2.0859,2.5859,1.6532,2.8205,
2.0859,2.5859,1.7265,2.9328,
2.0859,2.5859,1.7998,3.0354,
2.0859,2.5859,1.8584,3.1331,
2.0859,2.5859,1.9072,3.2015,
2.0859,2.5859,1.9463,3.2796,
2.0859,2.5859,1.9707,3.3187,
2.0859,2.5859,1.9951,3.3822,
2.0859,2.5859,2,3.4164,
2.0859,2.5859,2.0244,3.475,
2.0859,2.5859,2.0488,3.5189,
2.0859,2.5859,2.0635,3.5775,
2.0859,2.5859,2.0928,3.6166,
2.0859,2.5859,2.1221,3.6606,
2.0859,2.5859,2.1319,3.6899,
2.0859,2.5859,2.1563,3.7143,
-0.067017,0.43298,2.1661,3.7436,
-0.067017,0.43298,2.1758,3.7582,
-0.067017,0.43298,2.1661,3.7631,
-0.067017,0.43298,2.0781,3.6557,
-0.067017,0.43298,1.9023,3.4115,
1.067,1.567,1.619,2.9866,
1.067,1.567,1.2772,2.4884,
1.067,1.567,0.95971,1.9902,
1.067,1.567,0.71551,1.58,
1.067,1.567,0.53968,1.3162,
1.067,1.567,0.47131,1.1746,
1.067,1.567,0.46642,1.1258,
1.067,1.567,0.51526,1.16,
1.067,1.567,0.60317,1.2479,
1.067,1.567,0.71551,1.3455,
1.067,1.567,0.81807,1.4237,
1.067,1.567,0.86691,1.4725,
1.067,1.567,0.87668,1.4823,
1.067,1.567,0.83272,1.4432,
1.067,1.567,0.75946,1.3895,
1.067,1.567,0.68132,1.3358,
1.067,1.567,0.61783,1.2869,
1.067,1.567,0.57875,1.2625,
1.067,1.567,0.55922,1.2576,
1.067,1.567,0.57875,1.2674,
1.067,1.567,0.61783,1.2821,
1.067,1.567,0.6569,1.2967,
1.067,1.567,0.69109,1.3114,
1.067,1.567,0.72039,1.3162,
1.067,1.567,0.71551,1.3065,
1.067,1.567,0.69597,1.2918,
1.067,1.567,0.67643,1.2821,
1.067,1.567,0.65201,1.2674,
1.067,1.567,0.62271,1.2479,
1.067,1.567,0.59829,1.2479,
1.067,1.567,0.59341,1.2527,
1.067,1.567,0.60317,1.2527,
1.067,1.567,0.61294,1.2576,
1.067,1.567,0.63736,1.2674,
1.067,1.567,0.6569,1.2723,
-0.96085,-0.46085,0.66667,1.2674,
-0.96085,-0.46085,0.66178,1.2625,
-0.96085,-0.46085,0.64713,1.2479,
-0.96085,-0.46085,0.59341,1.1844,
-0.96085,-0.46085,0.47619,1.0476,
0.8714,1.3714,0.32479,0.84737,
0.8714,1.3714,0.10501,0.61294,
0.8714,1.3714,0.06105,0.39805,
0.8714,1.3714,0.16361,0.23199,
0.8714,1.3714,0.24664,0.13919,
-1.1312,-0.6312,0.24176,0.14408,
-1.1312,-0.6312,0.14896,0.20269,
-1.1312,-0.6312,0.031746,0.33944,
-1.1312,-0.6312,0.14896,0.49573,
-1.1312,-0.6312,0.24664,0.60806,
0.8714,1.3714,0.27595,0.61783,
0.8714,1.3714,0.21245,0.50549,
0.8714,1.3714,0.10012,0.31502,
0.8714,1.3714,0.095238,0.10989,
0.8714,1.3714,0.1978,0.051282,
0.8714,1.3714,0.28083,0.075702,
0.8714,1.3714,0.28571,0.007326,
0.8714,1.3714,0.1978,0.075702,
0.8714,1.3714,0.03663,0.23199,
0.8714,1.3714,0.15873,0.46154,
0.8714,1.3714,0.33944,0.71551,
0.8714,1.3714,0.52015,0.92552,
0.8714,1.3714,0.62271,1.0476,
0.8714,1.3714,0.62759,1.0476,
0.8714,1.3714,0.5348,0.94994,
-1.4653,-0.96533,0.41758,0.81807,
-1.4653,-0.96533,0.27595,0.6862,
-1.4653,-0.96533,0.14896,0.58364,
-1.4653,-0.96533,0.041514,0.49084,
-1.4653,-0.96533,0.041514,0.38828,
0.8118,1.3118,0.095238,0.27595,
0.8118,1.3118,0.1978,0.14896,
0.8118,1.3118,0.28571,0.041514,
0.8118,1.3118,0.34432,0.046398,
0.8118,1.3118,0.31502,0.075702,
0.1882,0.6882,0.24176,0.031746,
0.1882,0.6882,0.12943,0.041514,
0.1882,0.6882,0.070818,0.16361,
0.1882,0.6882,0.16361,0.32967,
0.1882,0.6882,0.28083,0.50061,
0.1882,0.6882,0.34921,0.63248,
0.1882,0.6882,0.33455,0.68132,
0.1882,0.6882,0.28083,0.63736,
0.1882,0.6882,0.17827,0.52015,
0.1882,0.6882,0.070818,0.37363,
0.1882,0.6882,0.051282,0.23687,
0.1882,0.6882,0.11966,0.15385,
0.1882,0.6882,0.14896,0.10989,
0.1882,0.6882,0.14408,0.10012,
0.1882,0.6882,0.10501,0.13919,
2.3737,2.8737,0.01221,0.20757,
2.3737,2.8737,0.065934,0.31013,
2.3737,2.8737,0.10501,0.4127,
2.3737,2.8737,0.20757,0.5348,
2.3737,2.8737,0.31013,0.68132,
-1.1,-0.59998,0.442,0.84737,
-1.1,-0.59998,0.59829,1.0476,
-1.1,-0.59998,0.74969,1.2479,
-1.1,-0.59998,0.82784,1.3602,
-1.1,-0.59998,0.78388,1.3162,
1.0944,1.5944,0.60317,1.1062,
1.0944,1.5944,0.33944,0.78877,
1.0944,1.5944,0.12943,0.45177,
1.0944,1.5944,0.18315,0.19292,
1.0944,1.5944,0.30037,0.041514,
-1.3829,-0.88287,0.33455,0.046398,
-1.3829,-0.88287,0.23687,0.10501,
-1.3829,-0.88287,0.075702,0.28083,
-1.3829,-0.88287,0.14896,0.49084,
-1.3829,-0.88287,0.30037,0.68132,
-1.3829,-0.88287,0.38339,0.74969,
-1.3829,-0.88287,0.33944,0.64225,
-1.3829,-0.88287,0.17827,0.39316,
-1.3829,-0.88287,0.11477,0.14408,
-1.3829,-0.88287,0.32967,0.18803,
0.90732,1.4073,0.62759,0.38828,
0.90732,1.4073,0.89133,0.57387,
0.90732,1.4073,1.0427,0.66178,
0.90732,1.4073,1.0037,0.58364,
0.90732,1.4073,0.76435,0.38339,
0.90732,1.4073,0.41758,0.15385,
0.90732,1.4073,0.13919,0.25153,
0.90732,1.4073,0.26129,0.53968,
0.90732,1.4073,0.48596,0.82295,
0.90732,1.4073,0.67155,0.99878,
-1.4397,-0.9397,0.73993,1.0183,
-1.4397,-0.9397,0.67155,0.89133,
-1.4397,-0.9397,0.50549,0.69597,
-1.4397,-0.9397,0.27106,0.46642,
-1.4397,-0.9397,0.075702,0.25641,
-1.4397,-0.9397,0.20269,0.10012,
-1.4397,-0.9397,0.42735,0.14896,
-1.4397,-0.9397,0.62271,0.28083,
-1.4397,-0.9397,0.75946,0.39805,
-1.4397,-0.9397,0.779,0.45665,
-1.4397,-0.9397,0.71062,0.43223,
-1.4397,-0.9397,0.58364,0.37363,
-1.4397,-0.9397,0.45665,0.27595,
-1.4397,-0.9397,0.36874,0.20757,
-1.4397,-0.9397,0.34432,0.15873,
2.4397,2.9397,0.38828,0.13431,
2.4397,2.9397,0.47131,0.16361,
2.4397,2.9397,0.59341,0.1978,
2.4397,2.9397,0.64713,0.20757,
2.4397,2.9397,0.56899,0.14408,
2.4397,2.9397,0.37363,0.03663,
2.4397,2.9397,0.14896,0.22222,
2.4397,2.9397,0.31013,0.54945,
2.4397,2.9397,0.6862,0.96947,
2.4397,2.9397,1.1062,1.409,
-0.15237,0.34763,1.4237,1.79,
-0.15237,0.34763,1.58,2.0488,
-0.15237,0.34763,1.5849,2.1465,
-0.15237,0.34763,1.4139,2.0977,
-0.15237,0.34763,1.1258,1.873,
2.4697,2.9697,0.79365,1.5507,
2.4697,2.9697,0.49573,1.2234,
2.4697,2.9697,0.27106,0.93529,
2.4697,2.9697,0.12454,0.76435,
2.4697,2.9697,0.13919,0.73016,
-1.3257,-0.82565,0.26618,0.86203,
-1.3257,-0.82565,0.52991,1.1355,
-1.3257,-0.82565,0.90598,1.5067,
-1.3257,-0.82565,1.2674,1.8291,
-1.3257,-0.82565,1.4237,1.9512,
-1.0225,-0.52251,1.2527,1.7509,
-1.0225,-0.52251,0.83761,1.2918,
-1.0225,-0.52251,0.30525,0.74969,
-1.0225,-0.52251,0.23199,0.26129,
-1.0225,-0.52251,0.49573,0.15873,
-1.0225,-0.52251,0.81807,0.28083,
-1.0225,-0.52251,1.0134,0.40293,
-1.0225,-0.52251,1.0085,0.442,
-1.0225,-0.52251,0.83272,0.38828,
-1.0225,-0.52251,0.5641,0.25641,
-1.0225,-0.52251,0.31013,0.10012,
-1.0225,-0.52251,0.13431,0.06105,
-1.0225,-0.52251,0.01221,0.090354,
-1.0225,-0.52251,0.041514,0.095238,
-0.10901,0.39099,0.080586,0.08547,
0.87183,1.3718,0.19292,0.03663,
0.87183,1.3718,0.37363,0.075702,
0.87183,1.3718,0.54945,0.15385,
0.87183,1.3718,0.66667,0.21734,
0.87183,1.3718,0.66667,0.1978,
0.20107,0.70107,0.52503,0.080586,
0.20107,0.70107,0.28571,0.075702,
0.20107,0.70107,0.13431,0.23687,
0.20107,0.70107,0.20757,0.43223,
0.20107,0.70107,0.37851,0.60317,
0.18209,0.68209,0.49573,0.69597,
0.18209,0.68209,0.51526,0.67643,
0.18209,0.68209,0.43223,0.56899,
0.18209,0.68209,0.27595,0.40293,
0.18209,0.68209,0.080586,0.23687,
0.15808,0.65808,0.090354,0.14408,
0.15808,0.65808,0.16361,0.080586,
0.15808,0.65808,0.20757,0.051282,
0.15808,0.65808,0.21245,0.075702,
0.15808,0.65808,0.15873,0.16361,
0.15808,0.65808,0.08547,0.26618,
0.15808,0.65808,0.06105,0.37363,
0.15808,0.65808,0.12943,0.45665,
0.15808,0.65808,0.19292,0.50549,
0.15808,0.65808,0.23199,0.48596,
-0.5302,-0.030203,0.22711,0.43223,
-0.5302,-0.030203,0.17338,0.33944,
-0.5302,-0.030203,0.095238,0.26618,
-0.5302,-0.030203,0.031746,0.18315,
-0.5302,-0.030203,0.051282,0.11477,
-0.5302,-0.030203,0.12454,0.075702,
-0.5302,-0.030203,0.17827,0.080586,
-0.5302,-0.030203,0.20757,0.06105,
-0.5302,-0.030203,0.20757,0.03663,
-0.5302,-0.030203,0.15385,0.03663,
1.5302,2.0302,0.13919,0.06105,
1.5302,2.0302,0.06105,0.046398,
1.5302,2.0302,0.03663,0.007326,
1.5302,2.0302,-0.002442,0.017094,
1.5302,2.0302,0.06105,0.08547,
1.7945,2.2945,0.14408,0.18803,
1.7945,2.2945,0.23687,0.33944,
1.7945,2.2945,0.35409,0.53968,
1.7945,2.2945,0.48107,0.76923,
1.7945,2.2945,0.59829,0.98901,
1.7945,2.2945,0.69109,1.1795,
1.7945,2.2945,0.779,1.326,
1.7945,2.2945,0.84249,1.409,
1.7945,2.2945,0.87668,1.4481,
1.7945,2.2945,0.91575,1.4823,
1.7945,2.2945,0.94017,1.5067,
1.7945,2.2945,0.97924,1.5507,
1.7945,2.2945,1.0281,1.6288,
1.7945,2.2945,1.0818,1.7363,
1.7945,2.2945,1.1404,1.8486,
-1.4808,-0.98079,1.2039,1.9805,
-1.4808,-0.98079,1.2674,2.0977,
-1.4808,-0.98079,1.2918,2.1612,
-1.4808,-0.98079,1.2234,2.1074,
-1.4808,-0.98079,1.0232,1.8437,
-0.43729,0.062713,0.72039,1.4237,
-0.43729,0.062713,0.34432,0.94505,
-0.43729,0.062713,0.12943,0.51038,
-0.43729,0.062713,0.27595,0.17827,
-0.43729,0.062713,0.48107,0.065934,
-0.11932,0.38068,0.62271,0.11966,
-0.11932,0.38068,0.62759,0.10989,
-0.11932,0.38068,0.51038,0.080586,
-0.11932,0.38068,0.32967,0.046398,
-0.11932,0.38068,0.13919,0.12454,
-0.11932,0.38068,0.070818,0.23687,
-0.11932,0.38068,0.16361,0.33944,
-0.11932,0.38068,0.20269,0.38339,
-0.11932,0.38068,0.1978,0.37363,
-0.11932,0.38068,0.10501,0.30037,
-0.79971,-0.29971,0.041514,0.18803,
-0.79971,-0.29971,0.080586,0.056166,
-0.79971,-0.29971,0.1685,0.021978,
-0.79971,-0.29971,0.26129,0.06105,
-0.79971,-0.29971,0.2906,0.08547,
0.10221,0.60221,0.2906,0.095238,
0.10221,0.60221,0.24176,0.090354,
0.10221,0.60221,0.20269,0.070818,
0.10221,0.60221,0.10989,0.002442,
0.10221,0.60221,0.090354,0.017094,
0.10221,0.60221,0.01221,0.065934,
0.10221,0.60221,0.03663,0.10012,
0.10221,0.60221,0.007326,0.12943,
0.10221,0.60221,-0.01221,0.14896,
0.10221,0.60221,0.031746,0.15385,
0.89385,1.3938,-0.002442,0.14896,
0.89385,1.3938,-0.01221,0.10989,
0.89385,1.3938,-0.017094,0.12943,
0.89385,1.3938,-0.021978,0.14408,
0.89385,1.3938,0.01221,0.17827,
0.10615,0.60615,0.075702,0.24176,
0.10615,0.60615,0.13431,0.32967,
0.10615,0.60615,0.20269,0.42735,
0.10615,0.60615,0.26618,0.51526,
0.10615,0.60615,0.28083,0.56899,
-0.056608,0.44339,0.26129,0.56899,
-0.056608,0.44339,0.20269,0.52503,
-0.056608,0.44339,0.13919,0.43712,
-0.056608,0.44339,0.026862,0.34921,
-0.056608,0.44339,0.021978,0.25153,
-0.0055436,0.49446,0.070818,0.1978,
-0.0055436,0.49446,0.11477,0.16361,
-0.0055436,0.49446,0.14408,0.14896,
-0.0055436,0.49446,0.10012,0.16361,
-0.0055436,0.49446,0.090354,0.19292,
0.024045,0.52404,0.007326,0.23687,
0.024045,0.52404,0.03663,0.27106,
0.024045,0.52404,0.046398,0.30037,
0.024045,0.52404,0.080586,0.2906,
0.024045,0.52404,0.095238,0.27595,
0.93361,1.4336,0.090354,0.25153,
0.93361,1.4336,0.051282,0.21245,
0.93361,1.4336,0.03663,0.17338,
0.93361,1.4336,-0.007326,0.15385,
0.93361,1.4336,0.031746,0.18315,
0.13873,0.63873,0.03663,0.24664,
0.13873,0.63873,0.075702,0.34432,
0.13873,0.63873,0.14408,0.47131,
0.13873,0.63873,0.21245,0.58364,
0.13873,0.63873,0.27106,0.66178,
1.2903,1.7903,0.27595,0.68132,
1.2903,1.7903,0.26129,0.63248,
1.2903,1.7903,0.21245,0.53968,
1.2903,1.7903,0.12454,0.46154,
1.2903,1.7903,0.075702,0.41758,
-0.155,0.345,0.090354,0.42247,
-0.155,0.345,0.14408,0.49084,
-0.155,0.345,0.21734,0.61783,
-0.155,0.345,0.32479,0.74969,
-0.155,0.345,0.39316,0.84737,
2.1109,2.6109,0.42735,0.88645,
2.1109,2.6109,0.38339,0.84249,
2.1109,2.6109,0.2906,0.73016,
2.1109,2.6109,0.20269,0.61783,
2.1109,2.6109,0.14896,0.5641,
2.1109,2.6109,0.16361,0.58852,
2.1109,2.6109,0.25153,0.72039,
2.1109,2.6109,0.43223,0.95482,
2.1109,2.6109,0.67643,1.2674,
2.1109,2.6109,0.96947,1.6093,
2.1109,2.6109,1.2576,1.9512,
2.1109,2.6109,1.4676,2.2247,
2.1109,2.6109,1.5849,2.3956,
2.1109,2.6109,1.619,2.4933,
2.1109,2.6109,1.5849,2.5177,

